model_name,author,class,downloads,assembles,params,hash,license,task,model_type,cycles,nvidia_compute_latency,nvidia_latency,x86_latency,onnx_exported,onnx_optimized,onnx_converted
alexnet,torch hub,AlexNet,0,TRUE,61100840,2891f54c,Unknown,-,pytorch,,-,-,-,TRUE,TRUE,TRUE
bart,huggingface pytorch,BartModel,0,FALSE,404079238,cb0751ce,Unknown,-,pytorch,,-,0.3594731854,0.9526702776,TRUE,TRUE,TRUE
beit,huggingface pytorch,BeitModel,0,FALSE,85530815,6b5d54c6,Unknown,-,pytorch,,-,0.9212441442,0.8234458168,TRUE,TRUE,TRUE
bert,huggingface pytorch,BertModel,0,TRUE,109166782,d59172a2,Unknown,-,pytorch,,-,0.530061979,0.7047938409,TRUE,TRUE,TRUE
bert for question answering,huggingface pytorch,BertForQuestionAnswering,0,FALSE,333701493,64bce7df,Unknown,-,pytorch,,-,0.6683411346,0.348481092,TRUE,TRUE,TRUE
bert generation,huggingface pytorch,EncoderDecoderModel,0,FALSE,465654648,42b8fae4,Unknown,-,pytorch,,-,0.1077982091,0.3473692903,TRUE,TRUE,TRUE
bert tiny for sequence classification,huggingface pytorch,BertForSequenceClassification,0,TRUE,4353194,ca662a9e,Unknown,-,pytorch,,-,0.5748178435,0.2362540791,TRUE,TRUE,TRUE
blenderbot small,huggingface pytorch,BlenderbotSmallModel,0,FALSE,84607202,d65dd9e3,Unknown,-,pytorch,,-,-,0.8786105288,TRUE,TRUE,TRUE
camembert,huggingface pytorch,CamembertModel,0,TRUE,109461696,a2ac5985,Unknown,-,pytorch,,-,0.1664160905,0.8746881469,TRUE,TRUE,TRUE
clip text encoder,diffusers,CLIPTextModel,0,TRUE,123066839,d312ecd1,Unknown,-,pytorch,,-,0.2097790728,0.9720412135,TRUE,TRUE,TRUE
convbert,huggingface pytorch,ConvBertModel,0,FALSE,105389032,b39013e9,Unknown,-,pytorch,,-,0.3710670566,0.9451956605,TRUE,TRUE,TRUE
convnext,huggingface pytorch,ConvNextModel,0,FALSE,27766278,80414def,Unknown,-,pytorch,,-,0.7483780632,-,TRUE,TRUE,TRUE
convnext base,torch hub,ConvNeXt,0,FALSE,88438765,c68282ce,Unknown,-,pytorch,,-,0.8708838228,0.6443308707,TRUE,TRUE,TRUE
convnext large,torch hub,ConvNeXt,0,FALSE,197538285,af479213,Unknown,-,pytorch,,-,0.06627834059,0.3834119618,TRUE,TRUE,TRUE
convnext small,torch hub,ConvNeXt,0,FALSE,50109165,32bd6900,Unknown,-,pytorch,,-,0.1387087279,0.1858895092,TRUE,TRUE,TRUE
convnext tiny,torch hub,ConvNeXt,0,FALSE,28536813,4f884eed,Unknown,-,pytorch,,-,0.8040838302,0.7140804057,TRUE,TRUE,TRUE
deberta,huggingface pytorch,DebertaModel,0,TRUE,123641957,f4e4f0d1,Unknown,-,pytorch,,-,0.07356748404,0.8320810276,TRUE,TRUE,TRUE
deit,huggingface pytorch,DeiTModel,0,FALSE,86272702,4519cd75,Unknown,-,pytorch,,-,-,0.4257759263,TRUE,TRUE,TRUE
deit base for image classification,huggingface pytorch,ViTForImageClassification,0,FALSE,86567846,8fa842d1,Unknown,-,pytorch,,-,0.07511358418,0.1587937427,TRUE,TRUE,TRUE
deit tiny for image classification,huggingface pytorch,ViTForImageClassification,0,TRUE,5717606,4f7bba18,Unknown,-,pytorch,,-,0.5986953321,0.1589380348,TRUE,TRUE,TRUE
densenet121,torch hub,DenseNet,0,FALSE,7928960,d5f7254d,Unknown,-,pytorch,,-,0.223103432,0.3582776808,TRUE,TRUE,TRUE
densenet161,torch hub,DenseNet,0,FALSE,28564768,6c360ce5,Unknown,-,pytorch,,-,0.5760521071,-,TRUE,TRUE,TRUE
densenet169,torch hub,DenseNet,0,FALSE,14079232,ccd997cb,Unknown,-,pytorch,,-,0.925285356,0.2066641834,TRUE,TRUE,TRUE
densenet201,torch hub,DenseNet,0,FALSE,19901952,e355a66c,Unknown,-,pytorch,,-,0.5952328131,0.7150526363,TRUE,TRUE,FALSE
detr,huggingface pytorch,DetrModel,0,FALSE,-,c328f5b8,Unknown,-,pytorch,,-,0.5943997277,0.3579429127,TRUE,TRUE,FALSE
detr for object detection,huggingface pytorch,DetrForObjectDetection,0,FALSE,-,a2481ba5,Unknown,-,pytorch,,-,0.3708182675,0.8912486329,TRUE,TRUE,TRUE
distil wav2vec2 for audio classification,huggingface pytorch,Wav2Vec2ForSequenceClassification,0,FALSE,37866370,cd811c97,Unknown,-,pytorch,,-,0.3044858549,0.4356521705,TRUE,TRUE,TRUE
distilbert,huggingface pytorch,DistilBertModel,0,FALSE,66068114,38518005,Unknown,-,pytorch,,-,0.753096493,0.5359567334,TRUE,TRUE,TRUE
distilbert for question answering,huggingface pytorch,DistilBertForQuestionAnswering,0,FALSE,66069655,65b3ff1b,Unknown,-,pytorch,,-,-,0.7001622561,TRUE,TRUE,TRUE
distilhubert for audio classification,huggingface pytorch,HubertForSequenceClassification,0,FALSE,23700597,4170140a,Unknown,-,pytorch,,-,0.5306673544,0.5248636079,TRUE,TRUE,TRUE
efficientnet b0,torch hub,EfficientNet,0,TRUE,5242196,94890704,Unknown,-,pytorch,,-,0.8726445517,0.9883209454,TRUE,TRUE,TRUE
efficientnet b1,torch hub,EfficientNet,0,TRUE,7724900,8e53a932,Unknown,-,pytorch,,-,-,0.2983805803,TRUE,TRUE,TRUE
efficientnet b2,torch hub,EfficientNet,0,TRUE,9034582,204800dc,Unknown,-,pytorch,,-,0.8041922217,0.5590392182,TRUE,TRUE,TRUE
efficientnet b3,torch hub,EfficientNet,0,FALSE,12134224,2950ca5b,Unknown,-,pytorch,,-,0.6351977538,0.7910649523,TRUE,TRUE,TRUE
efficientnet b4,torch hub,EfficientNet,0,FALSE,19197120,7d75dda2,Unknown,-,pytorch,,-,0.6566002185,-,TRUE,TRUE,TRUE
efficientnet b5,torch hub,EfficientNet,0,FALSE,30187756,204c9208,Unknown,-,pytorch,,-,-,0.7448938632,TRUE,TRUE,TRUE
efficientnet b6,torch hub,EfficientNet,0,FALSE,42776110,d5bd9458,Unknown,-,pytorch,,-,0.08317055388,0.5736338115,TRUE,TRUE,TRUE
efficientnet b7,torch hub,EfficientNet,0,FALSE,65977888,6973429a,Unknown,-,pytorch,,-,0.923207231,0.1441279948,TRUE,TRUE,TRUE
efficientnet v2 l,torch hub,EfficientNet,0,FALSE,117896136,f5ddf7f0,Unknown,-,pytorch,,-,0.04204524828,0.4086286848,TRUE,TRUE,TRUE
efficientnet v2 m,torch hub,EfficientNet,0,FALSE,53790556,a041aef8,Unknown,-,pytorch,,-,0.6019568858,0.5245239163,TRUE,TRUE,TRUE
efficientnet v2 s,torch hub,EfficientNet,0,FALSE,21275536,ae743058,Unknown,-,pytorch,,-,0.5937655039,0.5348455458,TRUE,TRUE,TRUE
electra,huggingface pytorch,ElectraModel,0,TRUE,13411517,8da49ae6,Unknown,-,pytorch,,-,0.6692486205,0.4009829786,TRUE,TRUE,TRUE
electra for sequence classification,huggingface pytorch,ElectraForSequenceClassification,0,TRUE,109285824,5ccb19c4,Unknown,-,pytorch,,-,0.3971938312,0.5677821826,TRUE,TRUE,TRUE
encoder decoder,huggingface pytorch,EncoderDecoderModel,0,FALSE,269541724,051eeb05,Unknown,-,pytorch,,-,0.9346869012,0.9847387641,TRUE,TRUE,TRUE
fasterrcnn mobilenet v3 large 320 fpn,torchvision,FasterRCNN,0,FALSE,-,59bcc1a5,Unknown,-,pytorch,,-,-,0.6083279321,TRUE,TRUE,TRUE
fasterrcnn mobilenet v3 large fpn,torchvision,FasterRCNN,0,FALSE,-,e32c9090,Unknown,-,pytorch,,-,0.9809107221,0.8068068871,TRUE,TRUE,TRUE
fasterrcnn resnet50 fpn,torchvision,FasterRCNN,0,FALSE,-,d8b3f65a,Unknown,-,pytorch,,-,0.7137446244,0.3051665576,TRUE,TRUE,TRUE
fasterrcnn resnet50 fpn v2,torchvision,FasterRCNN,0,FALSE,-,7147702b,Unknown,-,pytorch,,-,0.2270062371,0.6995605109,TRUE,TRUE,TRUE
fcos resnet50 fpn,torchvision,FCOS,0,FALSE,-,78b52a80,Unknown,-,pytorch,,-,0.3569217638,0.9152885619,TRUE,TRUE,TRUE
flaubert,huggingface pytorch,FlaubertModel,0,FALSE,665991453,6202b0cf,Unknown,-,pytorch,,-,0.1632512774,-,TRUE,TRUE,TRUE
funnel,huggingface pytorch,FunnelModel,0,FALSE,126026366,ab8f5fd3,Unknown,-,pytorch,,-,0.7044616903,-,TRUE,TRUE,TRUE
funnel base,huggingface pytorch,FunnelBaseModel,0,FALSE,111060055,37ecc84c,Unknown,-,pytorch,,-,0.2091450516,-,TRUE,TRUE,TRUE
googlenet,torch hub,GoogLeNet,0,TRUE,6613040,6e59c54b,Unknown,-,pytorch,,-,0.7150814403,-,TRUE,TRUE,TRUE
gpt1,huggingface pytorch,OpenAIGPTModel,0,TRUE,116160216,0342a9fe,Unknown,-,pytorch,,-,0.5142592189,-,TRUE,TRUE,TRUE
gpt2,huggingface pytorch,GPT2Model,0,FALSE,123654106,af143a10,Unknown,-,pytorch,,-,0.158932048,-,TRUE,TRUE,TRUE
gpt2 doublehead,huggingface pytorch,GPT2DoubleHeadsModel,0,FALSE,162253019,7befd733,Unknown,-,pytorch,,-,0.3122759696,0.02552053518,TRUE,TRUE,TRUE
hardnet39ds,torch hub,HarDNet,0,TRUE,3475386,47ba431c,Unknown,-,pytorch,,-,0.7285997594,0.3964458821,TRUE,TRUE,TRUE
hardnet68,torch hub,HarDNet,0,TRUE,17557570,9d6d24cf,Unknown,-,pytorch,,-,0.6983739791,0.9057760945,TRUE,TRUE,TRUE
hardnet68ds,torch hub,HarDNet,0,TRUE,4162836,85f34cd3,Unknown,-,pytorch,,-,0.4661837048,0.5113252359,TRUE,TRUE,TRUE
hardnet85,torch hub,HarDNet,0,FALSE,36657020,acb062f3,Unknown,-,pytorch,,-,0.5940045827,0.8055358081,TRUE,TRUE,TRUE
imagegpt,huggingface pytorch,ImageGPTModel,0,FALSE,75872158,3b5850cc,Unknown,-,pytorch,,-,0.1787505865,0.3447673324,TRUE,TRUE,TRUE
inception v3,torch hub,Inception3,0,TRUE,23802160,46db3db5,Unknown,-,pytorch,,-,0.08009607107,0.6512160638,TRUE,TRUE,TRUE
keypointrcnn resnet50 fpn,torchvision,KeypointRCNN,0,FALSE,-,2f5908b4,Unknown,-,pytorch,,-,0.8088128085,0.4302517376,FALSE,FALSE,FALSE
layoutlm,huggingface pytorch,LayoutLMModel,0,TRUE,112312513,33ec397d,Unknown,-,pytorch,,-,0.7114299737,0.2745420037,TRUE,TRUE,TRUE
luke,huggingface pytorch,LukeModel,0,TRUE,124625858,431c265c,Unknown,-,pytorch,,-,0.2215668713,0.3966205355,FALSE,FALSE,FALSE
m2m 100,huggingface pytorch,M2M100Model,0,FALSE,484582485,533285d2,Unknown,-,pytorch,,-,0.8410742278,0.5874390004,TRUE,TRUE,TRUE
